scenario,mode,total_tools,avg_visible_tools,avg_total_tokens,std_total_tokens,accuracy,std_accuracy,latency_p50_ms,latency_p95_ms,latency_mean_ms,std_latency_ms,registry_memory_bytes,runs
S1,baseline,30,30,3422.833,4.845,0.5,0.5,582.02,610.662,588.64,14.973,0,6
S1,registry,30,10.833,1560.0,179.128,1.0,0.0,337.685,366.832,337.382,21.183,22662,6
S2,baseline,100,100,10410.182,4.745,0.1818,0.3857,1384.344,1430.024,1391.695,21.56,0,11
S2,registry,100,15,1968.727,21.65,1.0,0.0,359.6,394.853,361.573,23.0,71971,11
S3,baseline,300,300,30496.222,4.732,0.5,0.5,3708.302,3748.263,3713.44,17.641,0,18
S3,registry,300,15,1970.5,47.168,0.8889,0.3143,359.162,397.174,362.479,19.793,205354,18
S4,baseline,1000,1000,101969.882,4.651,0.4118,0.4922,11891.476,11938.006,11896.327,21.221,0,34
S4,registry,1000,15,2013.588,72.481,0.8824,0.3222,356.281,402.082,360.919,17.595,677404,34
